region	year	month	share
Пермь	2014	Ноябрь	0,009091275
Пермь	2014	Декабрь	0,007138807
Пермь	2015	Январь	0,008387551
Пермь	2015	Февраль	0,008910334
Пермь	2015	Март	0,010914715
Пермь	2015	Апрель	0,012748622
Пермь	2015	Май	0,011509408
Пермь	2015	Июнь	0,013058226
Вся Россия	2014	Январь	0,01255935
Вся Россия	2014	Февраль	0,013219745
Вся Россия	2014	Март	0,015272892
Вся Россия	2014	Апрель	0,017185411
Вся Россия	2014	Май	0,019379111
Вся Россия	2014	Июнь	0,021945406
Вся Россия	2014	Июль	0,024210166
Вся Россия	2014	Август	0,019704858
Вся Россия	2014	Сентябрь	0,014525138
Вся Россия	2014	Октябрь	0,011867792
Вся Россия	2014	Ноябрь	0,010441213
Вся Россия	2014	Декабрь	0,008643807
Вся Россия	2015	Январь	0,010538865
Вся Россия	2015	Февраль	0,011026488
Вся Россия	2015	Март	0,012664168
Вся Россия	2015	Апрель	0,013548891
Вся Россия	2015	Май	0,012479158
Вся Россия	2015	Июнь	0,014273649
Ростов-на-Дону	2014	Январь	0,010797774
Ростов-на-Дону	2014	Февраль	0,012345799
Ростов-на-Дону	2014	Март	0,013847436
Ростов-на-Дону	2014	Апрель	0,016831948
Ростов-на-Дону	2014	Май	0,020572936
Ростов-на-Дону	2014	Июнь	0,024456404
Ростов-на-Дону	2014	Июль	0,031076995
Ростов-на-Дону	2014	Август	0,023265584
Ростов-на-Дону	2014	Сентябрь	0,014890699
Ростов-на-Дону	2014	Октябрь	0,011639473
Ростов-на-Дону	2014	Ноябрь	0,010880037
Ростов-на-Дону	2014	Декабрь	0,00807942
Ростов-на-Дону	2015	Январь	0,009428861
Ростов-на-Дону	2015	Февраль	0,009514723
Ростов-на-Дону	2015	Март	0,011118261
Ростов-на-Дону	2015	Апрель	0,012657138
Ростов-на-Дону	2015	Май	0,012657542
Ростов-на-Дону	2015	Июнь	0,017291975
Самара	2014	Январь	0,012059936
Самара	2014	Февраль	0,013649506
Самара	2014	Март	0,014994766
Самара	2014	Апрель	0,017113189
Самара	2014	Май	0,021274995
Самара	2014	Июнь	0,023568097
Самара	2014	Июль	0,026756073
Самара	2014	Август	0,021334656
Самара	2014	Сентябрь	0,015867526
Самара	2014	Октябрь	0,012198032
Самара	2014	Ноябрь	0,011170335
Самара	2014	Декабрь	0,008341512
Самара	2015	Январь	0,010232677
Самара	2015	Февраль	0,010528087
Самара	2015	Март	0,012782776
Самара	2015	Апрель	0,014401826
Самара	2015	Май	0,011983669
Самара	2015	Июнь	0,013337482
Санкт-Петербург	2014	Январь	0,01900724
Санкт-Петербург	2014	Февраль	0,018913732
Санкт-Петербург	2014	Март	0,0202608
Санкт-Петербург	2014	Апрель	0,022863673
Санкт-Петербург	2014	Май	0,024561898
Санкт-Петербург	2014	Июнь	0,027487837
Санкт-Петербург	2014	Июль	0,030155046
Санкт-Петербург	2014	Август	0,02517104
Санкт-Петербург	2014	Сентябрь	0,019856267
Санкт-Петербург	2014	Октябрь	0,015852613
Санкт-Петербург	2014	Ноябрь	0,013632922
Санкт-Петербург	2014	Декабрь	0,01126027
Санкт-Петербург	2015	Январь	0,013261726
Санкт-Петербург	2015	Февраль	0,014066356
Санкт-Петербург	2015	Март	0,014027069
Санкт-Петербург	2015	Апрель	0,013093665
Санкт-Петербург	2015	Май	0,010688785
Санкт-Петербург	2015	Июнь	0,01281601
Уфа	2014	Январь	0,009503143
Уфа	2014	Февраль	0,010801451
Уфа	2014	Март	0,01260343
